participant	content	token	lemma	tagged_token	tagged_lemma	file
kid	see the moon today it looks like a cloud	[see, the, moon, today, it, looks, like, a, cloud]	[see, the, moon, today, it, look, like, a, cloud]	[(see, VB), (the, DT), (moon, NN), (today, NN), (it, PRP), (looks, VBZ), (like, IN), (a, DT), (cloud, NN)]	[(see, VB), (the, DT), (moon, NN), (today, NN), (it, PRP), (look, VBZ), (like, IN), (a, DT), (cloud, NN)]	time50-cond1.txt
cgv	it sure does it looks like a cloud now but it'll look like a bright light when it gets a little darker	[it, sure, does, it, looks, like, a, cloud, now, but, it, will, look, like, a, bright, light, when, it, gets, a, little, darker]	[it, sure, do, it, look, like, a, cloud, now, but, it, will, look, like, a, bright, light, when, it, get, a, little, darker]	[(it, PRP), (sure, RB), (does, VBZ), (it, PRP), (looks, VBZ), (like, IN), (a, DT), (cloud, NN), (now, RB), (but, CC), (it, PRP), (will, MD), (look, VB), (like, IN), (a, DT), (bright, JJ), (light, NN), (when, WRB), (it, PRP), (gets, VBZ), (a, DT), (little, JJ), (darker, NN)]	[(it, PRP), (sure, RB), (do, VBP), (it, PRP), (look, VB), (like, IN), (a, DT), (cloud, NN), (now, RB), (but, CC), (it, PRP), (will, MD), (look, VB), (like, IN), (a, DT), (bright, JJ), (light, NN), (when, WRB), (it, PRP), (get, VB), (a, DT), (little, JJ), (darker, NN)]	time50-cond1.txt
kid	see this it's a bandhat i wear it again when i do the band when greggy and andy comes i sayed   this is a bandhat when greggy and andy comes	[see, this, it, is, a, bandit, i, wear, it, again, when, i, do, the, band, when, gregg, and, andy, comes, i, stayed, this, is, a, bandit, when, gregg, and, andy, comes]	[see, this, it, be, a, bandit, i, wear, it, again, when, i, do, the, band, when, gregg, and, andy, come, i, stay, this, be, a, bandit, when, gregg, and, andy, come]	[(see, VB), (this, DT), (it, PRP), (is, VBZ), (a, DT), (bandit, NN), (i, NN), (wear, VBP), (it, PRP), (again, RB), (when, WRB), (i, NN), (do, VBP), (the, DT), (band, NN), (when, WRB), (gregg, NN), (and, CC), (andy, NN), (comes, VBZ), (i, RB), (stayed, VBN), (this, DT), (is, VBZ), (a, DT), (bandit, NN), (when, WRB), (gregg, NN), (and, CC), (andy, NN), (comes, VBZ)]	[(see, VB), (this, DT), (it, PRP), (be, VB), (a, DT), (bandit, NN), (i, NN), (wear, VBP), (it, PRP), (again, RB), (when, WRB), (i, NN), (do, VBP), (the, DT), (band, NN), (when, WRB), (gregg, NN), (and, CC), (andy, JJ), (come, NN), (i, NN), (stay, VBP), (this, DT), (be, VB), (a, DT), (bandit, NN), (when, WRB), (gregg, NN), (and, CC), (andy, JJ), (come, NN)]	time50-cond1.txt
cgv	a bandhat tell daddy what you're holding	[a, bandit, tell, daddy, what, you, are, holding]	[a, bandit, tell, daddy, what, you, be, hold]	[(a, DT), (bandit, NN), (tell, NN), (daddy, VB), (what, WP), (you, PRP), (are, VBP), (holding, VBG)]	[(a, DT), (bandit, NN), (tell, NN), (daddy, VB), (what, WP), (you, PRP), (be, VB), (hold, VBN)]	time50-cond1.txt
kid	a flute	[a, flute]	[a, flute]	[(a, DT), (flute, NN)]	[(a, DT), (flute, NN)]	time50-cond1.txt
cgv	a flute  let me see you play it that's pretty good abe	[a, flute, let, me, see, you, play, it, that, is, pretty, good, abe]	[a, flute, let, me, see, you, play, it, that, be, pretty, good, abe]	[(a, DT), (flute, JJ), (let, NN), (me, PRP), (see, VB), (you, PRP), (play, VB), (it, PRP), (that, WDT), (is, VBZ), (pretty, RB), (good, JJ), (abe, NN)]	[(a, DT), (flute, JJ), (let, NN), (me, PRP), (see, VB), (you, PRP), (play, VB), (it, PRP), (that, IN), (be, VB), (pretty, RB), (good, JJ), (abe, NN)]	time50-cond1.txt
kid	look at this i made look what look what i made momma	[look, at, this, i, made, look, what, look, what, i, made, momma]	[look, at, this, i, make, look, what, look, what, i, make, momma]	[(look, NN), (at, IN), (this, DT), (i, NN), (made, VBD), (look, VBP), (what, WP), (look, VBP), (what, WP), (i, NN), (made, VBD), (momma, NN)]	[(look, NN), (at, IN), (this, DT), (i, JJ), (make, VBP), (look, VBP), (what, WP), (look, VBP), (what, WP), (i, JJ), (make, VBP), (momma, NN)]	time50-cond1.txt
cgv	what did you make	[what, did, you, make]	[what, do, you, make]	[(what, WP), (did, VBD), (you, PRP), (make, VB)]	[(what, WP), (do, VBP), (you, PRP), (make, VB)]	time50-cond1.txt
kid	look at this i made look what i made	[look, at, this, i, made, look, what, i, made]	[look, at, this, i, make, look, what, i, make]	[(look, NN), (at, IN), (this, DT), (i, NN), (made, VBD), (look, VBP), (what, WP), (i, NN), (made, VBD)]	[(look, NN), (at, IN), (this, DT), (i, JJ), (make, VBP), (look, VBP), (what, WP), (i, VBP), (make, VBP)]	time50-cond1.txt
cgv	do you think that's your pencil now	[do, you, think, that, is, your, pencil, now]	[do, you, think, that, be, your, pencil, now]	[(do, VBP), (you, PRP), (think, VB), (that, DT), (is, VBZ), (your, PRP$), (pencil, NN), (now, RB)]	[(do, VBP), (you, PRP), (think, VB), (that, IN), (be, VB), (your, PRP$), (pencil, NN), (now, RB)]	time50-cond1.txt
kid	no i'm using it for a for a letter	[no, i, am, using, it, for, a, for, a, letter]	[no, i, be, use, it, for, a, for, a, letter]	[(no, DT), (i, NN), (am, VBP), (using, VBG), (it, PRP), (for, IN), (a, DT), (for, IN), (a, DT), (letter, NN)]	[(no, DT), (i, NN), (be, VB), (use, IN), (it, PRP), (for, IN), (a, DT), (for, IN), (a, DT), (letter, NN)]	time50-cond1.txt
cgv	what abe i didn't hear you	[what, abe, i, did, not, hear, you]	[what, abe, i, do, not, hear, you]	[(what, WP), (abe, VBD), (i, NN), (did, VBD), (not, RB), (hear, VB), (you, PRP)]	[(what, WP), (abe, NN), (i, NN), (do, VBP), (not, RB), (hear, VB), (you, PRP)]	time50-cond1.txt
kid	a letter xl	[a, letter, xl]	[a, letter, xl]	[(a, DT), (letter, NN), (xl, NN)]	[(a, DT), (letter, NN), (xl, NN)]	time50-cond1.txt
cgv	are you making the letter xl xl marks the spot xl marks the spot	[are, you, making, the, letter, xl, xl, marks, the, spot, xl, marks, the, spot]	[be, you, make, the, letter, xl, xl, mark, the, spot, xl, mark, the, spot]	[(are, VBP), (you, PRP), (making, VBG), (the, DT), (letter, NN), (xl, NNP), (xl, NNP), (marks, VBZ), (the, DT), (spot, NN), (xl, NN), (marks, VBZ), (the, DT), (spot, NN)]	[(be, VB), (you, PRP), (make, VBP), (the, DT), (letter, NN), (xl, NNP), (xl, NNP), (mark, VBD), (the, DT), (spot, NN), (xl, NNP), (mark, NN), (the, DT), (spot, NN)]	time50-cond1.txt
kid	look what i made	[look, what, i, made]	[look, what, i, make]	[(look, VB), (what, WP), (i, NN), (made, VBD)]	[(look, VB), (what, WP), (i, NNS), (make, VBP)]	time50-cond1.txt
cgv	what did you make now	[what, did, you, make, now]	[what, do, you, make, now]	[(what, WP), (did, VBD), (you, PRP), (make, VB), (now, RB)]	[(what, WP), (do, VBP), (you, PRP), (make, VB), (now, RB)]	time50-cond1.txt
kid	i want ta i want ta eat something on the way	[i, want, ta, i, want, ta, eat, something, on, the, way]	[i, want, ta, i, want, ta, eat, something, on, the, way]	[(i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, NN), (eat, NN), (something, NN), (on, IN), (the, DT), (way, NN)]	[(i, NN), (want, VBP), (ta, NN), (i, NN), (want, VBP), (ta, NN), (eat, NN), (something, NN), (on, IN), (the, DT), (way, NN)]	time50-cond1.txt
cgv	no you eat your noodles and your celery are you through with your stew	[no, you, eat, your, noodles, and, your, celery, are, you, through, with, your, stew]	[no, you, eat, your, noodle, and, your, celery, be, you, through, with, your, stew]	[(no, DT), (you, PRP), (eat, VBP), (your, PRP$), (noodles, NNS), (and, CC), (your, PRP$), (celery, NN), (are, VBP), (you, PRP), (through, IN), (with, IN), (your, PRP$), (stew, NN)]	[(no, DT), (you, PRP), (eat, VBP), (your, PRP$), (noodle, JJ), (and, CC), (your, PRP$), (celery, NN), (be, VB), (you, PRP), (through, IN), (with, IN), (your, PRP$), (stew, NN)]	time50-cond1.txt
kid	me too	[me, too]	[me, too]	[(me, PRP), (too, RB)]	[(me, PRP), (too, RB)]	time50-cond1.txt
cgv	no daddy i know you aren't through with yours	[no, daddy, i, know, you, are, not, through, with, yours]	[no, daddy, i, know, you, be, not, through, with, yours]	[(no, DT), (daddy, NN), (i, RB), (know, VBP), (you, PRP), (are, VBP), (not, RB), (through, IN), (with, IN), (yours, NNS)]	[(no, DT), (daddy, NN), (i, RB), (know, VBP), (you, PRP), (be, VB), (not, RB), (through, IN), (with, IN), (yours, NNS)]	time50-cond1.txt
kid	i'm through with it i'm through with it i'm through with it	[i, am, through, with, it, i, am, through, with, it, i, am, through, with, it]	[i, be, through, with, it, i, be, through, with, it, i, be, through, with, it]	[(i, NN), (am, VBP), (through, IN), (with, IN), (it, PRP), (i, VBZ), (am, VBP), (through, IN), (with, IN), (it, PRP), (i, VBZ), (am, VBP), (through, IN), (with, IN), (it, PRP)]	[(i, NN), (be, VB), (through, IN), (with, IN), (it, PRP), (i, JJ), (be, VB), (through, IN), (with, IN), (it, PRP), (i, JJ), (be, VB), (through, IN), (with, IN), (it, PRP)]	time50-cond1.txt
cgv	okay you don't get any snacks tonight	[okay, you, do, not, get, any, snacks, tonight]	[okay, you, do, not, get, any, snack, tonight]	[(okay, NN), (you, PRP), (do, VBP), (not, RB), (get, VB), (any, DT), (snacks, NNS), (tonight, NN)]	[(okay, NN), (you, PRP), (do, VBP), (not, RB), (get, VB), (any, DT), (snack, NN), (tonight, NN)]	time50-cond1.txt
kid	which which book you want ta took over there	[which, which, book, you, want, ta, took, over, there]	[which, which, book, you, want, ta, take, over, there]	[(which, WDT), (which, WDT), (book, NN), (you, PRP), (want, VBP), (ta, JJ), (took, VBD), (over, IN), (there, EX)]	[(which, WDT), (which, WDT), (book, NN), (you, PRP), (want, VBP), (ta, JJ), (take, NN), (over, IN), (there, RB)]	time50-cond1.txt
cgv	which book let's not take your new books then they'd get full of clay	[which, book, let, us, not, take, your, new, books, then, they, would, get, full, of, clay]	[which, book, let, u, not, take, your, new, book, then, they, would, get, full, of, clay]	[(which, WDT), (book, NN), (let, VBD), (us, PRP), (not, RB), (take, VB), (your, PRP$), (new, JJ), (books, NNS), (then, RB), (they, PRP), (would, MD), (get, VB), (full, JJ), (of, IN), (clay, NN)]	[(which, WDT), (book, NN), (let, NN), (u, JJ), (not, RB), (take, VB), (your, PRP$), (new, JJ), (book, NN), (then, RB), (they, PRP), (would, MD), (get, VB), (full, JJ), (of, IN), (clay, NN)]	time50-cond1.txt
kid	okay i'm not i'm just taking them i'm not playing with i'm playing with clay i'm gon ta put them on the out on the sidewalk	[okay, i, am, not, i, am, just, taking, them, i, am, not, playing, with, i, am, playing, with, clay, i, am, gon, ta, put, them, on, the, out, on, the, sidewalk]	[okay, i, be, not, i, be, just, take, them, i, be, not, play, with, i, be, play, with, clay, i, be, gon, ta, put, them, on, the, out, on, the, sidewalk]	[(okay, NN), (i, NN), (am, VBP), (not, RB), (i, JJ), (am, VBP), (just, RB), (taking, VBG), (them, PRP), (i, VB), (am, VBP), (not, RB), (playing, VBG), (with, IN), (i, JJ), (am, VBP), (playing, VBG), (with, IN), (clay, NN), (i, NN), (am, VBP), (gon, NN), (ta, NN), (put, VBD), (them, PRP), (on, IN), (the, DT), (out, RP), (on, IN), (the, DT), (sidewalk, NN)]	[(okay, NN), (i, NN), (be, VB), (not, RB), (i, JJ), (be, VB), (just, RB), (take, VB), (them, PRP), (i, RB), (be, VB), (not, RB), (play, VB), (with, IN), (i, NN), (be, VB), (play, VBN), (with, IN), (clay, NN), (i, NN), (be, VB), (gon, VBN), (ta, JJ), (put, VBD), (them, PRP), (on, IN), (the, DT), (out, RP), (on, IN), (the, DT), (sidewalk, NN)]	time50-cond1.txt
cgv	you're going to put your books on the sidewalk	[you, are, going, to, put, your, books, on, the, sidewalk]	[you, be, go, to, put, your, book, on, the, sidewalk]	[(you, PRP), (are, VBP), (going, VBG), (to, TO), (put, VB), (your, PRP$), (books, NNS), (on, IN), (the, DT), (sidewalk, NN)]	[(you, PRP), (be, VB), (go, VBN), (to, TO), (put, VB), (your, PRP$), (book, NN), (on, IN), (the, DT), (sidewalk, NN)]	time50-cond1.txt
kid	not not a sidewalk here	[not, not, a, sidewalk, here]	[not, not, a, sidewalk, here]	[(not, RB), (not, RB), (a, DT), (sidewalk, NN), (here, RB)]	[(not, RB), (not, RB), (a, DT), (sidewalk, NN), (here, RB)]	time50-cond1.txt
cgv	at school	[at, school]	[at, school]	[(at, IN), (school, NN)]	[(at, IN), (school, NN)]	time50-cond1.txt
kid	a sidewalk at school	[a, sidewalk, at, school]	[a, sidewalk, at, school]	[(a, DT), (sidewalk, NN), (at, IN), (school, NN)]	[(a, DT), (sidewalk, NN), (at, IN), (school, NN)]	time50-cond1.txt
cgv	that's what i said at school are you going to eat any of this abe	[that, is, what, i, said, at, school, are, you, going, to, eat, any, of, this, abe]	[that, be, what, i, say, at, school, be, you, go, to, eat, any, of, this, abe]	[(that, DT), (is, VBZ), (what, WP), (i, NN), (said, VBD), (at, IN), (school, NN), (are, VBP), (you, PRP), (going, VBG), (to, TO), (eat, VB), (any, DT), (of, IN), (this, DT), (abe, NN)]	[(that, DT), (be, VB), (what, WP), (i, JJ), (say, VBP), (at, IN), (school, NN), (be, VB), (you, PRP), (go, VBP), (to, TO), (eat, VB), (any, DT), (of, IN), (this, DT), (abe, NN)]	time50-cond1.txt
kid	you get a snack you can get a snack	[you, get, a, snack, you, can, get, a, snack]	[you, get, a, snack, you, can, get, a, snack]	[(you, PRP), (get, VBP), (a, DT), (snack, NN), (you, PRP), (can, MD), (get, VB), (a, DT), (snack, NN)]	[(you, PRP), (get, VBP), (a, DT), (snack, NN), (you, PRP), (can, MD), (get, VB), (a, DT), (snack, NN)]	time50-cond1.txt
cgv	i can get a snack i ate my dinner	[i, can, get, a, snack, i, ate, my, dinner]	[i, can, get, a, snack, i, eat, my, dinner]	[(i, NN), (can, MD), (get, VB), (a, DT), (snack, NN), (i, NN), (ate, VBP), (my, PRP$), (dinner, NN)]	[(i, NN), (can, MD), (get, VB), (a, DT), (snack, NN), (i, NN), (eat, VBP), (my, PRP$), (dinner, NN)]	time50-cond1.txt
kid	why i don't get a snack	[why, i, do, not, get, a, snack]	[why, i, do, not, get, a, snack]	[(why, WRB), (i, NNS), (do, VBP), (not, RB), (get, VB), (a, DT), (snack, NN)]	[(why, WRB), (i, NNS), (do, VBP), (not, RB), (get, VB), (a, DT), (snack, NN)]	time50-cond1.txt
cgv	because you didn't eat your dinner if you don't eat dinner then you don't get any snacks later	[because, you, did, not, eat, your, dinner, if, you, do, not, eat, dinner, then, you, do, not, get, any, snacks, later]	[because, you, do, not, eat, your, dinner, if, you, do, not, eat, dinner, then, you, do, not, get, any, snack, later]	[(because, IN), (you, PRP), (did, VBD), (not, RB), (eat, VB), (your, PRP$), (dinner, NN), (if, IN), (you, PRP), (do, VBP), (not, RB), (eat, VB), (dinner, NN), (then, RB), (you, PRP), (do, VBP), (not, RB), (get, VB), (any, DT), (snacks, NNS), (later, RB)]	[(because, IN), (you, PRP), (do, VBP), (not, RB), (eat, VB), (your, PRP$), (dinner, NN), (if, IN), (you, PRP), (do, VBP), (not, RB), (eat, VB), (dinner, NN), (then, RB), (you, PRP), (do, VBP), (not, RB), (get, VB), (any, DT), (snack, NN), (later, RB)]	time50-cond1.txt
kid	yeah i can i can eat my rope i can eat my rope	[yeah, i, can, i, can, eat, my, rope, i, can, eat, my, rope]	[yeah, i, can, i, can, eat, my, rope, i, can, eat, my, rope]	[(yeah, NN), (i, NN), (can, MD), (i, VB), (can, MD), (eat, VB), (my, PRP$), (rope, NN), (i, NN), (can, MD), (eat, VB), (my, PRP$), (rope, NN)]	[(yeah, NN), (i, NN), (can, MD), (i, VB), (can, MD), (eat, VB), (my, PRP$), (rope, NN), (i, NN), (can, MD), (eat, VB), (my, PRP$), (rope, NN)]	time50-cond1.txt
